policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
143972,IN,500/1000,2000,1475.73,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Unknown,2,0,No,60400.0,6040.0,6040.0,48320.0,Nissan,Pathfinder,2014,No
183430,IN,250/500,1000,1187.96,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,No,1,0,Unknown,47160.0,0.0,5240.0,41920.0,Subaru,Impreza,2011,No
431876,IL,500/1000,2000,875.15,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Unknown,1,2,Unknown,37840.0,0.0,4730.0,33110.0,Acura,RSX,1996,No
285496,IL,100/300,2000,972.18,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,No,0,0,Yes,71520.0,17880.0,5960.0,47680.0,Subaru,Forrestor,2000,Yes
115399,IN,100/300,2000,1268.79,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Unknown,2,2,Unknown,98160.0,8180.0,16360.0,73620.0,Dodge,RAM,2011,Yes
736882,IN,100/300,1000,883.31,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,No,1,3,No,77880.0,7080.0,14160.0,56640.0,Ford,Escape,2005,No
699044,OH,100/300,2000,1266.92,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,No,1,3,Yes,71500.0,16500.0,11000.0,44000.0,Ford,Escape,2006,Yes
863236,IN,100/300,2000,1322.1,2015-01-28,Parked Car,Unknown,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,Yes,1,3,Yes,9020.0,1640.0,820.0,6560.0,Toyota,Camry,2005,No
608513,IN,100/300,500,848.07,2015-01-07,Vehicle Theft,Unknown,Minor Damage,Unknown,VA,Northbrook,3790 Andromedia Hwy,5,1,Yes,2,1,Unknown,5720.0,1040.0,520.0,4160.0,Subaru,Forrestor,2003,Yes
914088,OH,100/300,2000,1291.7,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,No,1,0,Yes,69840.0,7760.0,15520.0,46560.0,Dodge,Neon,2009,No
596785,IL,500/1000,2000,1104.5,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,No,2,2,No,91650.0,14100.0,14100.0,63450.0,Acura,TL,2011,No
908616,IL,250/500,1000,954.16,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,No,0,0,Unknown,75600.0,12600.0,12600.0,50400.0,Toyota,Corolla,2005,No
666333,IL,100/300,2000,1337.28,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,No,2,2,Unknown,67140.0,7460.0,7460.0,52220.0,Ford,F150,2006,Yes
336614,IL,500/1000,1000,1088.34,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,Yes,2,3,No,29790.0,3310.0,3310.0,23170.0,BMW,3 Series,2008,No
584859,IL,100/300,1000,1558.29,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,No,1,2,Unknown,77110.0,14020.0,14020.0,49070.0,Subaru,Impreza,2015,No
990493,IL,500/1000,500,1415.68,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,Yes,0,1,Yes,64800.0,10800.0,5400.0,48600.0,Audi,A3,1999,No
129872,OH,100/300,1000,1334.15,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,Yes,2,0,Yes,53100.0,10620.0,5310.0,37170.0,Mercedes,C300,1995,Yes
200152,IL,100/300,1000,988.45,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Unknown,1,1,Yes,60200.0,6020.0,6020.0,48160.0,Subaru,Forrestor,2004,Yes
933293,IL,500/1000,2000,1222.48,2015-01-18,Parked Car,Unknown,Minor Damage,Unknown,WV,Arlington,6676 Tree Lane,16,1,No,1,1,Yes,5330.0,1230.0,820.0,3280.0,Subaru,Legacy,2001,No
485664,IN,500/1000,2000,1155.55,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Unknown,2,0,Unknown,62300.0,12460.0,6230.0,43610.0,Jeep,Wrangler,2007,No
982871,IN,250/500,500,1262.08,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Unknown,0,3,No,60170.0,10940.0,10940.0,38290.0,Nissan,Pathfinder,2011,Yes
206213,IL,100/300,500,1451.62,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,No,2,2,Unknown,40000.0,8000.0,4000.0,28000.0,BMW,M5,2010,No
616337,IN,250/500,500,1737.66,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,Unknown,97080.0,16180.0,16180.0,64720.0,BMW,X5,2001,Yes
448961,IL,500/1000,500,1475.93,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,Yes,1,0,No,51660.0,5740.0,5740.0,40180.0,Dodge,RAM,2010,No
790442,OH,250/500,500,538.17,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,No,2,2,No,51120.0,5680.0,5680.0,39760.0,Mercedes,E400,2005,No
108844,IL,100/300,2000,1081.08,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,Yes,0,2,Unknown,56400.0,11280.0,11280.0,33840.0,Toyota,Highlander,2014,No
430029,IL,250/500,1000,1454.43,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,No,2,3,Unknown,55120.0,6890.0,0.0,48230.0,Acura,MDX,2002,No
529112,IN,100/300,500,1240.47,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,Yes,1,1,Unknown,77110.0,0.0,14020.0,63090.0,Honda,Civic,2014,No
939631,OH,500/1000,2000,1273.7,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,No,2,1,No,62800.0,6280.0,6280.0,50240.0,Audi,A3,2003,Yes
866931,IN,500/1000,1000,1123.87,2015-02-26,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Unknown,2,0,Yes,7290.0,810.0,810.0,5670.0,Volkswagen,Passat,1995,No
582011,IL,100/300,1000,1245.89,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,No,0,0,Unknown,76600.0,15320.0,7660.0,53620.0,Mercedes,C300,2000,No
691189,OH,250/500,2000,1326.62,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Unknown,0,3,Yes,81800.0,16360.0,8180.0,57260.0,Nissan,Pathfinder,1998,No
537546,IL,100/300,2000,1073.83,2015-01-17,Vehicle Theft,Unknown,Trivial Damage,Unknown,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,Unknown,7260.0,1320.0,660.0,5280.0,BMW,M5,2008,No
394975,IN,100/300,1000,1530.52,2015-02-22,Vehicle Theft,Unknown,Minor Damage,Unknown,WV,Northbend,2644 Elm Drive,8,1,Unknown,2,1,Yes,4300.0,430.0,430.0,3440.0,Toyota,Corolla,2000,No
729634,IN,100/300,500,1201.41,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,Yes,1,0,Unknown,70510.0,12820.0,12820.0,44870.0,Subaru,Forrestor,1999,No
282195,OH,250/500,1000,1393.57,2015-02-27,Parked Car,Unknown,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,No,0,1,Yes,2640.0,480.0,480.0,1680.0,Ford,F150,2009,No
420810,OH,100/300,1000,1276.57,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,Yes,1,2,No,78900.0,15780.0,7890.0,55230.0,Chevrolet,Silverado,1995,No
524836,IN,250/500,500,1082.49,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,Unknown,2,3,Unknown,56430.0,0.0,6270.0,50160.0,Honda,CRV,2014,No
307195,IN,500/1000,1000,1414.74,2015-02-22,Parked Car,Unknown,Minor Damage,Unknown,VA,Riverwood,5418 Britain Ave,19,1,No,1,3,No,2400.0,300.0,300.0,1800.0,Chevrolet,Silverado,2014,No
623648,IL,250/500,2000,1470.06,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,Yes,0,1,No,65790.0,7310.0,7310.0,51170.0,Saab,93,2007,No
485372,OH,250/500,2000,870.63,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,No,1,1,No,62920.0,11440.0,5720.0,45760.0,Ford,Escape,2000,No
598554,IN,100/300,500,795.23,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,Yes,2,1,Unknown,69480.0,15440.0,0.0,54040.0,Nissan,Maxima,2014,Yes
303987,IL,500/1000,1000,1168.2,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,No,0,3,No,44280.0,7380.0,3690.0,33210.0,Honda,Accord,1997,No
343161,IL,500/1000,1000,993.51,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,No,0,3,Yes,56300.0,5630.0,11260.0,39410.0,BMW,M5,2011,No
519312,OH,500/1000,500,1848.81,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,Yes,2,2,Yes,68520.0,11420.0,5710.0,51390.0,Subaru,Legacy,2003,Yes
132902,OH,250/500,2000,1641.73,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,No,0,0,No,59130.0,6570.0,6570.0,45990.0,Ford,Escape,2006,Yes
332867,IN,100/300,500,1362.87,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,Yes,2,2,No,82320.0,13720.0,6860.0,61740.0,Dodge,Neon,1995,Yes
356590,IN,250/500,500,1239.22,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,Yes,0,1,No,89700.0,13800.0,13800.0,62100.0,Audi,A5,2009,Yes
346002,OH,250/500,500,835.02,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,No,1,1,No,33930.0,0.0,3770.0,30160.0,BMW,X6,1998,No
500533,OH,100/300,1000,1061.33,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,No,0,3,No,68530.0,12460.0,6230.0,49840.0,Audi,A5,1997,No
348209,IN,500/1000,1000,1279.08,2015-02-27,Parked Car,Unknown,Minor Damage,Unknown,NC,Riverwood,7721 Washington Ridge,13,1,No,0,1,Unknown,4300.0,860.0,860.0,2580.0,Ford,F150,2004,No
486676,OH,100/300,500,1105.49,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,Unknown,2,3,Unknown,68310.0,12420.0,6210.0,49680.0,Audi,A3,2003,Yes
260845,OH,100/300,2000,1055.53,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,No,0,2,No,61290.0,6810.0,6810.0,47670.0,Honda,Civic,1995,Yes
657045,OH,250/500,1000,895.83,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,No,1,2,No,30100.0,3010.0,0.0,27090.0,Chevrolet,Malibu,1999,No
761189,IN,100/300,500,1632.93,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,No,2,0,Yes,57120.0,9520.0,4760.0,42840.0,Mercedes,C300,2002,No
175177,IL,100/300,1000,1405.99,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,Yes,1,0,Yes,42930.0,9540.0,4770.0,28620.0,BMW,X6,2005,No
116700,OH,100/300,1000,1425.54,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,No,2,0,No,51210.0,11380.0,5690.0,34140.0,Ford,Fusion,2010,No
166264,OH,500/1000,1000,1038.09,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,No,1,1,Yes,89400.0,14900.0,7450.0,67050.0,Subaru,Legacy,1998,No
527945,IN,250/500,500,1307.11,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,No,0,2,Unknown,59730.0,10860.0,10860.0,38010.0,Audi,A3,2005,No
627540,OH,500/1000,1000,1489.24,2015-01-24,Vehicle Theft,Unknown,Minor Damage,Unknown,SC,Springfield,7877 Sky Lane,15,1,Yes,2,2,Yes,8060.0,1240.0,1240.0,5580.0,Saab,95,2004,No
279422,OH,500/1000,500,976.67,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,Unknown,1,2,Unknown,72200.0,14440.0,7220.0,50540.0,BMW,M5,2013,Yes
484200,OH,250/500,2000,1340.43,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,No,1,2,No,50800.0,10160.0,10160.0,30480.0,Acura,MDX,2005,No
645258,OH,500/1000,2000,1267.81,2015-01-03,Vehicle Theft,Unknown,Trivial Damage,Unknown,NC,Northbrook,7098 Lincoln Hwy,10,1,Unknown,2,1,Unknown,6600.0,660.0,1320.0,4620.0,Acura,TL,2005,No
694662,IL,250/500,1000,1234.2,2015-01-29,Vehicle Theft,Unknown,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,Yes,2,2,No,7500.0,750.0,1500.0,5250.0,Nissan,Maxima,2002,No
960680,IN,250/500,2000,1318.06,2015-01-19,Vehicle Theft,Unknown,Trivial Damage,Unknown,VA,Hillsdale,2333 Maple Lane,13,1,No,0,3,Yes,6490.0,1180.0,1180.0,4130.0,Volkswagen,Jetta,2002,No
498140,IN,500/1000,2000,769.95,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,Unknown,2,3,No,60940.0,5540.0,11080.0,44320.0,Audi,A3,2013,Yes
498875,OH,100/300,2000,1514.72,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,Yes,0,1,Unknown,58300.0,5830.0,11660.0,40810.0,Subaru,Legacy,2007,No
798177,IL,500/1000,1000,873.64,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,No,2,1,Unknown,68400.0,11400.0,11400.0,45600.0,Ford,F150,2007,No
614763,IL,500/1000,500,1612.43,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,Unknown,2,1,Yes,64240.0,11680.0,11680.0,40880.0,BMW,3 Series,2015,No
679370,IL,500/1000,2000,1318.24,2015-01-30,Parked Car,Unknown,Trivial Damage,Unknown,WV,Arlington,5540 Sky St,9,1,No,0,1,Yes,4700.0,940.0,470.0,3290.0,Dodge,Neon,2002,No
958857,IN,100/300,1000,1226.83,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,Yes,2,0,Unknown,45120.0,0.0,5640.0,39480.0,Acura,MDX,2011,Yes
686816,OH,250/500,2000,1326.44,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,Yes,1,1,Unknown,66950.0,10300.0,10300.0,46350.0,Saab,93,1995,No
127754,IL,250/500,2000,1136.83,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,No,0,3,Unknown,98340.0,8940.0,17880.0,71520.0,Honda,Accord,2004,Yes
918629,IL,250/500,2000,1322.78,2015-02-28,Parked Car,Unknown,Trivial Damage,Unknown,WV,Springfield,5260 Francis Drive,9,1,No,0,1,No,5900.0,590.0,590.0,4720.0,BMW,X5,2007,No
731450,IN,100/300,1000,1483.25,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,No,1,1,Unknown,70680.0,5890.0,11780.0,53010.0,Ford,Fusion,2009,No
307447,IL,100/300,500,1515.3,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,No,1,0,No,93720.0,17040.0,8520.0,68160.0,Mercedes,ML350,2005,No
992145,IL,100/300,2000,1075.18,2015-02-21,Vehicle Theft,Unknown,Minor Damage,Unknown,OH,Northbrook,3289 Britain Drive,5,1,No,2,0,Yes,6930.0,1260.0,630.0,5040.0,Toyota,Highlander,2001,No
900628,IN,500/1000,1000,1690.27,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,Yes,0,3,No,72930.0,6630.0,6630.0,59670.0,Dodge,RAM,2006,Yes
235220,IL,250/500,2000,1352.83,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,Yes,1,2,Yes,64890.0,7210.0,7210.0,50470.0,Nissan,Pathfinder,2013,Yes
740019,OH,250/500,1000,1148.73,2015-02-22,Parked Car,Unknown,Trivial Damage,Unknown,WV,Columbus,3998 Flute St,6,1,Unknown,1,2,Yes,5400.0,900.0,900.0,3600.0,Saab,95,1999,No
246882,IL,100/300,1000,969.5,2015-01-26,Vehicle Theft,Unknown,Trivial Damage,Unknown,NC,Northbrook,2430 MLK Ave,10,1,No,0,0,Unknown,5600.0,700.0,700.0,4200.0,Audi,A3,2007,No
797613,IN,100/300,500,1463.82,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,Yes,0,0,Unknown,79300.0,15860.0,15860.0,47580.0,Saab,92x,2007,No
193442,IL,100/300,1000,1474.17,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,Yes,1,0,Yes,52800.0,10560.0,5280.0,36960.0,Saab,95,2004,No
389238,IL,250/500,500,1497.35,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,Unknown,2,3,No,28800.0,0.0,3600.0,25200.0,Ford,Fusion,2013,No
760179,OH,100/300,1000,1427.14,2015-02-15,Parked Car,Unknown,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,No,1,1,No,2970.0,330.0,330.0,2310.0,Toyota,Highlander,2008,No
939905,OH,500/1000,500,1495.1,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,No,0,0,Unknown,93480.0,15580.0,7790.0,70110.0,Chevrolet,Malibu,2014,No
872814,IL,100/300,500,1141.62,2015-01-01,Vehicle Theft,Unknown,Minor Damage,Unknown,WV,Columbus,8085 Andromedia St,4,1,Yes,1,3,Yes,4320.0,480.0,480.0,3360.0,Mercedes,E400,2002,No
632627,OH,500/1000,1000,1125.37,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,4793 4th Ridge,6,3,Unknown,0,2,Yes,79800.0,6650.0,19950.0,53200.0,Saab,95,2000,Yes
283414,IN,500/1000,2000,1207.36,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,22,2,No,1,0,Unknown,74200.0,7420.0,14840.0,51940.0,Volkswagen,Passat,1997,No
163161,IL,500/1000,2000,1338.5,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,2306 5th Lane,1,1,Unknown,0,0,Unknown,70590.0,10860.0,10860.0,48870.0,Saab,93,2000,Yes
853360,IN,500/1000,1000,1074.07,2015-01-27,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,3052 Weaver Ridge,16,3,No,0,3,Yes,60940.0,5540.0,11080.0,44320.0,Nissan,Ultima,2006,Yes
776860,OH,250/500,500,1337.56,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,18,1,Unknown,1,2,Yes,74700.0,7470.0,14940.0,52290.0,Dodge,RAM,2010,No
149367,IN,100/300,500,1298.91,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,7253 MLK St,0,1,Yes,0,0,Unknown,70000.0,14000.0,7000.0,49000.0,Ford,F150,2015,Yes
395269,IL,500/1000,500,1222.75,2015-01-30,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,1454 5th Ridge,12,3,Unknown,2,0,No,81070.0,14740.0,14740.0,51590.0,BMW,X5,2001,No
981123,IN,100/300,1000,1059.52,2015-03-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,5622 Best Ridge,13,2,Unknown,1,1,Unknown,57720.0,14430.0,9620.0,33670.0,Saab,93,2007,No
